City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,usinsk,65.9939,57.5281,12.98,67,100,3.08,RU,1720917555
84,hermanus,-34.4187,19.2345,9.89,89,100,5.95,ZA,1720917129
85,afaahiti,-17.75,-149.2833,24.93,93,100,9.28,PF,1720917068
86,basco,20.4487,121.9702,30.32,79,13,6.91,PH,1720917559
87,cidreira,-30.1811,-50.2056,15.2,85,100,6.29,BR,1720917560
88,calama,-22.4667,-68.9333,10.27,9,0,3.09,CL,1720917561
89,pyt-yakh,60.7499,72.8582,14.64,91,100,3.99,RU,1720917562
90,bilibino,68.0546,166.4372,13.53,70,100,1.54,RU,1720917564
91,bethel,41.3712,-73.414,25.98,83,61,0.89,US,1720917565
92,tilcara,-23.5776,-65.3509,1.19,16,0,2.98,AR,1720917566
93,santa rosalia,27.3167,-112.2833,29.79,61,0,3.32,MX,1720917567
94,badger,64.8,-147.5333,22.14,43,0,4.12,US,1720917025
95,fort st. john,56.2499,-120.8529,19.94,64,40,2.06,CA,1720917570
96,isangel,-19.55,169.2667,29.06,70,40,3.6,VU,1720917133
97,klaksvik,62.2266,-6.589,10.51,87,0,4.19,FO,1720917572
98,mana,5.6592,-53.7767,25.18,85,29,1.23,GF,1720917573
99,thunder bay,48.4001,-89.3168,24.99,68,75,5.66,CA,1720917446
100,domna,51.8971,113.1573,19.09,68,40,5.0,RU,1720917577
101,stantsiya novyy afon,43.0806,40.8383,22.92,70,7,1.97,GE,1720917578
102,bubaque,11.2833,-15.8333,27.16,80,100,3.73,GW,1720917579
103,castillos,-34.1667,-53.8333,3.9,89,0,0.89,UY,1720917580
104,cabo san lucas,22.8909,-109.9124,29.23,81,75,5.14,MX,1720917337
105,nagqu,31.5,92.0,8.9,84,100,2.26,CN,1720917583
106,puerto ayora,-0.7393,-90.3518,20.81,91,88,3.64,EC,1720917584
107,albany,42.6001,-73.9662,26.6,70,6,0.45,US,1720917036
108,howrah,22.5892,88.3103,28.0,94,75,0.0,IN,1720917226
109,brookings,44.3114,-96.7984,30.62,81,0,2.06,US,1720917587
110,tyukhtet,56.5389,89.3011,20.48,73,3,1.0,RU,1720917589
111,fukuecho,32.6881,128.8419,22.2,100,75,2.57,JP,1720917591
112,tbilisskaya,45.3633,40.19,18.27,32,0,4.46,RU,1720917592
113,jianshui,23.6363,102.8264,22.62,88,98,1.34,CN,1720917593
114,ponta delgada,37.7333,-25.6667,20.4,73,20,3.6,PT,1720917172
115,saipan,15.1355,145.701,32.39,70,40,7.2,MP,1720917295
116,saint-pierre,-21.3393,55.4781,18.82,68,0,3.6,RE,1720917232
